,typesOrg,number,numberOrg
527,church college | private not-for-profit educational institution,7,2
528,christian school | church college | private not-for-profit educational institution | private university,7,4
529,general education school,7,1
530,appellate court | high court of japan,7,2
531,institute of technology | public university,6,2
532,german student corps | landsmannschaft,6,2
533,liberal arts college in the united states | private not-for-profit educational institution | women's college,6,3
534,learned society | voluntary association,6,2
535,learned society | organization,6,2
536,medical school,6,1
537,charitable organization | independent school,6,2
538,judiciary,6,1
539,broadcasting board,6,1
540,land-grant university | public educational institution of the united states | united states senior military college | university,6,4
541,higher education institution | university,6,2
542,university in newfoundland and labrador,6,1
543,type of educational institution,6,1
544,colleges that change lives | liberal arts college,6,2
545,upper secondary school in finland,6,1
546,building | school,6,2
547,higher education institution | higher education institution in minsk | organization | university,6,4
548,constituent assembly,6,1
549,philosophy faculty,6,1
550,business | law firm,6,2
551,public educational institution | public university | university of applied sciences,6,3
552,public school | school,6,2
553,catholic university | cultural property | jesuit university | private university,6,4
554,catholic university | private university,6,2
555,nonprofit organization | veterans' organization,6,2
556,educational institution | ministerial level institution | public institution directly under central committee of the chinese communist party,6,3
557,university in quebec,6,1
558,sorority,6,1
559,business school | organization,6,2
560,congressional caucus,6,1
561,q1265246,6,1
562,public school | sekolah menengah atas,6,2
563,public school,6,1
564,academy of sciences | national academy | nonprofit organization,6,3
565,canadian superior court,6,1
566,boarding school | university-preparatory school,6,2
567,organ of state,6,1
568,boarding school | boys' school | charitable organization | independent school,6,4
569,catholic university | pontifical university,6,2
570,liberal arts college | private university | public university,6,3
571,organization | private not-for-profit educational institution | private university,6,3
572,open-access publisher | public educational institution | public university | university,6,4
573,boarding school | independent school | school,6,3
574,international non-governmental organization,6,1
575,boys' school | independent school,6,2
576,collegiate university | public university,6,2
577,institute of technology | organization | public university | research institute | university of excellence,6,5
578,church college | colleges that change lives | liberal arts college in the united states | private not-for-profit educational institution,6,4
579,language regulator,6,1
580,higher education institution | organization,6,2
581,institution of the european union | international court,6,2
582,finance ministry | financial regulatory agency | government agency | united states federal executive department,5,4
583,nonprofit organization | private association of the christian faithful,5,2
584,faculty of law | open-access publisher | research institute,5,3
585,open-access publisher | public university | research university,5,3
586,faculty | university building,5,2
587,private not-for-profit educational institution | seminary | university,5,3
588,boarding school | charitable organization | independent school | school building,5,4
589,academy | higher education institution,5,2
590,boarding school | secondary school,5,2
591,organization | private university,5,2
592,catholic school | secondary school,5,2
593,catholic school | primary school | private school | secondary school,5,4
594,academy | language regulator | national academy | organization,5,4
595,normal school | public educational institution of the united states | university,5,3
596,academy of sciences | publishing company,5,2
597,educational organization | exempt charity | higher education institution | public university | research university,5,5
598,private not-for-profit educational institution | research university,5,2
599,private university | research university,5,2
600,educational institution | university,5,2
601,direct reporting unit | military school | staff college,5,3
602,constitutional institution | supreme court,5,2
603,educational institution | higher education institution,5,2
604,school | secondary school,5,2
605,department of the united kingdom government | foreign affairs ministry,5,2
606,yeshiva,5,1
607,constitutional institution | labor court | superior court,5,3
608,business | enterprise,5,2
609,business | university,5,2
610,academy of sciences | library | national academy | open-access publisher,5,4
611,pressure group,5,1
612,local court (germany),5,1
613,literary society,5,1
614,armed organization | criminal organization | hate group | political organization | terrorist organization,5,5
615,junior school | upper school,5,2
616,community college | public educational institution of the united states | school,5,3
617,former university | private not-for-profit educational institution | seminary,5,3
618,boarding school | boys' high school | public school | secondary school,5,4
619,church college | colleges that change lives | liberal arts college | private not-for-profit educational institution,5,4
620,charitable organization | independent school | secondary school,5,3
621,magazine,5,1
622,legal person | university,5,2
623,legislative term of the grand national assembly of bulgaria,5,1
624,german student corps | lebenscorps,5,2
625,girls' high school,5,1
626,lyceum,5,1
627,military academy | university in ontario,5,2
628,high school | public institution | school,5,3
629,colleges that change lives | liberal arts college | private not-for-profit educational institution | private university | university campus,5,5
630,colleges that change lives | liberal arts college in the united states,5,2
631,higher school in the empire of japan,5,1
632,japanese combined junior and senior high school,5,1
633,boys' school | catholic school | high school | jesuit school | nonprofit organization | university-preparatory school,5,6
634,historic district | university-preparatory school,5,2
635,court of appeal,5,1
636,czech research institution | open-access publisher | public university | publishing company | university,5,5
637,czech research institution | open-access publisher | organization | public university | publishing company,5,5
638,court | supreme court,5,2
639,united states court of appeals,5,1
640,voivodeship administrative court,5,1
641,wikimedia disambiguation page,5,1
642,women's college,5,1
643,university | university campus,5,2
644,unibuc faculty,4,1
645,trial court,4,1
