,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
69285,http://www.wikidata.org/entity/Q4768901,http://www.wikidata.org/entity/Q7278661,University of Pittsburgh|University of Pittsburgh School of Law,2,http://www.wikidata.org/entity/Q235034|http://www.wikidata.org/entity/Q7896136,1900-1924,1921.0,1932.0,1923.0,1934.0,1900-1924
69319,http://www.wikidata.org/entity/Q4772220,http://www.wikidata.org/entity/Q6389858,Hugh Wooding Law School|University of the West Indies,2,http://www.wikidata.org/entity/Q5933098|http://www.wikidata.org/entity/Q746153,1950-1974,1971.0,1982.0,1968.0,1979.0,1950-1974
69322,http://www.wikidata.org/entity/Q4772220,http://www.wikidata.org/entity/Q9333540,Hugh Wooding Law School|University of the West Indies,2,http://www.wikidata.org/entity/Q5933098|http://www.wikidata.org/entity/Q746153,1950-1974,1971.0,1982.0,1967.0,1978.0,1925-1949
69325,http://www.wikidata.org/entity/Q4772280,http://www.wikidata.org/entity/Q6145563,Eton College|Trinity College,2,http://www.wikidata.org/entity/Q192088|http://www.wikidata.org/entity/Q332342,1800-1824,1822.0,1833.0,1828.0,1839.0,1800-1824
69389,http://www.wikidata.org/entity/Q4772837,http://www.wikidata.org/entity/Q7291614,University of Virginia School of Law|Princeton University,2,http://www.wikidata.org/entity/Q7896545|http://www.wikidata.org/entity/Q21578,1925-1949,1967.0,1978.0,1964.0,1975.0,1925-1949
69403,http://www.wikidata.org/entity/Q4772854,http://www.wikidata.org/entity/Q5237389,University of Michigan|University of Michigan Law School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q911830,1925-1949,1958.0,1969.0,1964.0,1975.0,1925-1949
69405,http://www.wikidata.org/entity/Q4772854,http://www.wikidata.org/entity/Q5246721,University of Michigan|University of Michigan Law School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q911830,1925-1949,1958.0,1969.0,1964.0,1975.0,1925-1949
69407,http://www.wikidata.org/entity/Q4772854,http://www.wikidata.org/entity/Q5528202,University of Michigan|University of Michigan Law School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q911830,1925-1949,1958.0,1969.0,1957.0,1968.0,1925-1949
69408,http://www.wikidata.org/entity/Q4772854,http://www.wikidata.org/entity/Q5561248,University of Michigan|University of Michigan Law School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q911830,1925-1949,1958.0,1969.0,1959.0,1970.0,1925-1949
69409,http://www.wikidata.org/entity/Q4772854,http://www.wikidata.org/entity/Q5585600,University of Michigan|University of Michigan Law School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q911830,1925-1949,1958.0,1969.0,1953.0,1964.0,1925-1949
